,adult,budget,id,imdb_id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
2,FALSE,4000000,5,tt0113101,en,9.026586,12/9/95,4300000,98,Released,Four Rooms,6.5,539
4,FALSE,11000000,11,tt0076759,en,42.149697,5/25/77,775398007,121,Released,Star Wars,8.1,6778
5,FALSE,94000000,12,tt0266543,en,25.497794,5/30/03,940335536,100,Released,Finding Nemo,7.6,6292
6,FALSE,55000000,13,tt0109830,en,48.307194,7/6/94,677945399,142,Released,Forrest Gump,8.2,8147
7,FALSE,15000000,14,tt0169547,en,20.726578,9/15/99,356296601,122,Released,American Beauty,7.9,3438
8,FALSE,839727,15,tt0033467,en,15.811921,4/30/41,23217674,119,Released,Citizen Kane,8,1244
9,FALSE,12800000,16,tt0168629,en,10.684806,5/17/00,40031879,140,Released,Dancer in the Dark,7.7,392
11,FALSE,90000000,18,tt0119116,en,24.30526,5/7/97,263920180,126,Released,The Fifth Element,7.3,3962
12,FALSE,92620000,19,tt0017136,de,14.487867,1/10/27,650422,153,Released,Metropolis,8,666
15,FALSE,140000000,22,tt0325980,en,47.326665,7/9/03,655011224,143,Released,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191
16,FALSE,30000000,24,tt0266697,en,25.261865,10/10/03,180949000,111,Released,Kill Bill: Vol. 1,7.7,5091
17,FALSE,72000000,25,tt0418763,en,9.997032,11/4/05,96889998,125,Released,Jarhead,6.6,776
18,FALSE,1400000,26,tt0352994,he,1.709996,2/5/04,0,103,Released,Walk on Water,6.5,20
19,FALSE,1000000,27,tt0411705,en,18.847707,7/16/04,1574623,66,Released,9 Songs,5.1,103
20,FALSE,31500000,28,tt0078788,en,13.5963,8/15/79,89460381,153,Released,Apocalypse Now,8,2112
22,FALSE,14000000,33,tt0105695,en,10.942149,8/7/92,159157447,131,Released,Unforgiven,7.7,1133
23,FALSE,75000000,35,tt0462538,en,14.302911,7/25/07,527068851,87,Released,The Simpsons Movie,6.9,2335
24,FALSE,20000000,38,tt0338013,en,12.906327,3/19/04,72258126,108,Released,Eternal Sunshine of the Spotless Mind,7.9,3758
25,FALSE,2000000,55,tt0245712,es,5.958138,6/16/00,20908467,154,Released,Amores perros,7.6,537
26,FALSE,200000000,58,tt0383574,en,29.455314,6/20/06,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5380
27,FALSE,32000000,59,tt0399146,en,11.119707,9/23/05,60740827,96,Released,A History of Violence,6.9,850
28,FALSE,10500000,62,tt0062622,en,22.494622,4/10/68,68700000,149,Released,2001: A Space Odyssey,7.9,3075
29,FALSE,29500000,63,tt0114746,en,12.297305,12/29/95,168840000,129,Released,Twelve Monkeys,7.4,2470
30,FALSE,9285469,64,tt0287467,es,6.648278,3/14/02,51001550,112,Released,Talk to Her,7.5,273
31,FALSE,41000000,65,tt0298203,en,8.374355,11/8/02,215000000,110,Released,8 Mile,6.8,1676
32,FALSE,50000000,66,tt0118548,en,7.66124,2/14/97,50068310,121,Released,Absolute Power,6.4,226
34,FALSE,15000000,68,tt0088846,en,9.837287,2/20/85,0,132,Released,Brazil,7.6,877
35,FALSE,28000000,69,tt0358273,en,11.476443,9/13/05,186438883,136,Released,Walk the Line,7.3,732
36,FALSE,30000000,70,tt0405159,en,14.471373,12/15/04,216763646,132,Released,Million Dollar Baby,7.7,2519
37,FALSE,5000000,71,tt0249462,en,12.158424,5/18/00,110000000,110,Released,Billy Elliot,7.4,774
38,FALSE,20000000,73,tt0120586,en,18.157166,10/30/98,23875127,119,Released,American History X,8.2,3120
39,FALSE,132000000,74,tt0407304,en,19.929377,6/28/05,591739379,116,Released,War of the Worlds,6.2,2397
40,FALSE,70000000,75,tt0116996,en,15.63424,12/12/96,101371017,106,Released,Mars Attacks!,6.1,1544
41,FALSE,2500000,76,tt0112471,en,11.304979,1/27/95,5535405,105,Released,Before Sunrise,7.7,984
42,FALSE,9000000,77,tt0209144,en,15.450789,10/11/00,39723096,113,Released,Memento,8.1,4168
43,FALSE,28000000,78,tt0083658,en,96.272374,6/25/82,33139618,117,Released,Blade Runner,7.9,3833
44,FALSE,31000000,79,tt0299977,zh,9.861765,12/19/02,177394432,99,Released,Hero,7.3,647
45,FALSE,2700000,80,tt0381681,en,7.048957,2/10/04,15992615,80,Released,Before Sunset,7.6,734
46,FALSE,1000000,81,tt0087544,ja,11.267366,3/11/84,3301446,117,Released,Nausicaä of the Valley of the Wind,7.7,808
47,FALSE,135000000,82,tt0430357,en,11.72545,7/27/06,163794509,134,Released,Miami Vice,5.7,494
48,FALSE,130000,83,tt0374102,en,10.652818,8/6/04,54667954,79,Released,Open Water,5.3,320
